Index,Feature,Botnet,DoS,MITM,Normal,Scanner,Brute force,Generic,Exploit,Infection
40,Fwd Pkts/s,0.30220943110824205,0.3657262916016276,0.588909972924977,0.9028744032190584,0.1782343512802707,0.6143488694387638,0.16338442946167536,0.29167066371125705,0.29592356287315374
41,Bwd Pkts/s,1.2028958787010309,2.066573705899313,1.5752219256689959,0.8265077403616952,0.7596262645002507,5.487240145190471,1.8002821823847601,2.420042604134357,1.7870201520907933
42,Pkt Len Min,1.2775858644614584,0.211748273141609,0.14779133653655968,0.07267897922537087,0.09822850383745003,0.1328859496233167,0.5417120123867953,0.2624344602186839,0.12083686571762872
43,Pkt Len Max,1.7144662463490157,0.46909134256799084,0.3041041331909653,0.44954505090759156,0.18476096996401553,0.3610061569939131,0.7574737605145767,0.34484156774167724,0.31366996676765246
44,Pkt Len Mean,0.7880942640337552,0.20704336413816007,0.16462129616318646,0.2600924267021782,0.12402831641578946,0.2636083526735183,0.776348642728812,0.33816757565724487,0.21342025445422497
45,Pkt Len Std,0.09614290653825237,0.16192932016836706,0.08449050574935091,0.23931161874133408,0.04352642944273341,0.11252266039073108,0.07534279530693971,0.06337023413017194,0.08929185717510262
46,Pkt Len Var,0.9991400786027572,0.5628200718004287,0.649816294312904,0.5219353507257475,0.5497415443089265,1.5653458785477532,3.0569410927062264,1.2282651939541496,0.33301467478280833
47,FIN Flag Cnt,0.006477732688061783,0.010635470113060442,0.004893718472714756,0.006654609988677602,0.004661298775817025,0.00493811155305284,0.006054948177862087,0.009240896070902796,0.005264231542087392
48,SYN Flag Cnt,0.043081103882606955,0.05435326237549496,0.029843166584242804,0.052474084318788826,0.06404780835932693,0.02865828957697278,0.06157370496769976,0.019431972849718877,0.050894210005393556
49,RST Flag Cnt,0.0009442709916123599,0.0005540871902723057,0.002359685282418215,0.0029703382665779536,0.000949318471759214,0.0009146478201293264,0.0021874187287983715,0.002134656713321582,0.0008751207326714875
50,PSH Flag Cnt,0.010492722905673388,0.02441198169076313,0.006882104320656434,0.02865380250364593,0.018663452933793755,0.008961746706173123,0.022070364378507464,0.03221620801154207,0.011378425363097276
51,ACK Flag Cnt,0.028519031588034992,0.0554472144093493,0.01593915298255772,0.0964526793747492,0.04782707015346717,0.01836007578588689,0.052709355032555846,0.06598868788232157,0.02176056961485719
52,URG Flag Cnt,0.0002505187934625965,0.0002984148156637914,0.00021250043683709394,9.88561796434883e-05,6.811426836934264e-05,3.552523217740229e-05,0.00013883531161014944,3.541431230874474e-05,0.00012250431588067462
53,CWE Flag Count,1.8592617380717355e-06,1.3293205896237246e-07,1.1059061591772155e-06,4.2430346624718775e-07,1.1459928953425133e-06,1.9514965043830066e-06,3.7454812950778026e-08,2.2789321804238067e-06,0.0
54,ECE Flag Cnt,0.00012733733551091266,0.0001291181066044519,0.00010627520568607556,7.870313301868862e-05,0.0002970088275203151,0.0002683589108727513,0.00020559585256380272,0.00010512902130510857,0.00016205692705950083
55,Down/Up Ratio,0.002296118186095261,0.001711056831457059,0.0013935901060840136,0.001728112645577324,0.0022559126959496743,0.0014793999500455472,0.002256444679003246,0.0016164406881878923,0.002099159550150925
56,Pkt Size Avg,0.42619888410857304,0.42391275739708567,0.5369221286074439,0.45609845458754783,0.270446201480623,0.5412297196598922,0.5497925350048318,1.0833861755166203,0.7633370648894713
57,Fwd Seg Size Avg,0.08828489323739304,0.0936664906958938,0.23757816864030742,0.22930590621843555,0.14521721130245108,0.12300497120996937,0.0951607617317414,0.09634437683851835,0.14649926549054162
58,Bwd Seg Size Avg,0.29431587741022963,0.30581938781249,0.41489260617596824,0.29464233619198466,0.2626372535793157,0.44923782005489354,0.708848395818357,1.009843433597995,0.438721263179812
59,Fwd Byts/b Avg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Fwd Pkts/b Avg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Fwd Blk Rate Avg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Bwd Byts/b Avg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Bwd Pkts/b Avg,0.007700854863931193,0.010201449347780214,0.006096355643329308,0.011692460001979854,0.014050952137098258,0.006324876740497682,0.009085841711113192,0.014764524325049724,0.005625082653323678
64,Bwd Blk Rate Avg,1.4146418511765508,0.17559584786685717,0.033488991286671065,0.43837155149759094,0.22192156209824723,0.03981153455761877,0.07348807120882868,0.20452102012920115,0.013612608984345593
65,Subflow Fwd Pkts,0.010392530910484064,0.03778135044506411,0.015608578646442725,0.01777667356653637,0.020477885611172912,0.011299817417267637,0.018665978974910565,0.033242352417548145,0.014379538608946325
66,Subflow Fwd Byts,0.1750262609862469,0.3493045012301371,0.439872338989864,0.23957946157971738,0.3143780930953227,0.23507434770297034,0.25160965342991604,0.2133392639143588,0.34856742646413746
67,Subflow Bwd Pkts,0.014130427380455649,0.03930063454791902,0.026272321624015948,0.01656583527248357,0.04200032463142256,0.014344327604069857,0.012234646109463948,0.015080599062268704,0.028273393574171163
