,Run #,Fold #,Class,Accuracy,Precision,Recall,F1 Score
0,8,3,Attack,0.98448,0.99563104,0.98448,0.99002415
1,8,3,Normal,0.99568,0.9846519,0.99568,0.9901352
0,8,4,Attack,0.99872,0.9930793,0.99872,0.99589163
1,8,4,Normal,0.99304,0.99871266,0.99304,0.99586827
0,8,5,Attack,0.99888,0.9934755,0.99888,0.9961704
1,8,5,Normal,0.99344,0.9988739,0.99344,0.99614954
0,8,6,Attack,0.9948,0.9936871,0.9948,0.99424326
1,8,6,Normal,0.99368,0.9947942,0.99368,0.9942368
0,8,7,Attack,0.998,0.9939447,0.998,0.9959682
1,8,7,Normal,0.99392,0.9979918,0.99392,0.9959517
0,8,8,Attack,0.99712,0.991725,0.99712,0.99441516
1,8,8,Normal,0.99168,0.9971042,0.99168,0.9943847
0,8,9,Attack,0.99968,0.97625,0.99968,0.9878261
1,8,9,Normal,0.97568,0.9996721,0.97568,0.9875304
0,8,10,Attack,0.996,0.9929813,0.996,0.9944884
1,8,10,Normal,0.99296,0.99598783,0.99296,0.99447155
0,9,1,Attack,0.99576,0.9975156,0.99576,0.99663705
1,9,1,Normal,0.99752,0.9957675,0.99752,0.99664295
0,9,2,Attack,0.98544,0.9949919,0.98544,0.9901929
1,9,2,Normal,0.99504,0.9855784,0.99504,0.9902866
0,9,3,Attack,0.96448,0.99636364,0.96448,0.9801626
1,9,3,Normal,0.99648,0.9655814,0.99648,0.98078746
0,9,4,Attack,0.99544,0.99591804,0.99544,0.99567896
1,9,4,Normal,0.99592,0.9954422,0.99592,0.99568105
0,9,5,Attack,0.998,0.9914958,0.998,0.99473727
1,9,5,Normal,0.99144,0.9979868,0.99144,0.9947026
0,9,6,Attack,0.99632,0.9921925,0.99632,0.99425197
1,9,6,Normal,0.99216,0.99630463,0.99216,0.994228
0,9,7,Attack,0.95832,0.99542964,0.95832,0.9765224
1,9,7,Normal,0.9956,0.959818,0.9956,0.9773816
0,9,8,Attack,0.98544,0.9957158,0.98544,0.99055123
1,9,8,Normal,0.99576,0.9855887,0.99576,0.99064827
0,9,9,Attack,0.98112,0.99739754,0.98112,0.9891918
1,9,9,Normal,0.99744,0.9814232,0.99744,0.98936677
0,9,10,Attack,0.99768,0.993626,0.99768,0.99564886
