Index,Feature,Botnet,DoS,MITM,Normal,Scanner,Brute force,Generic,Exploit,Infection
15,Bwd Pkt Len Min,0.00017613810660981974,6.379686272935737e-05,7.752145652995664e-05,0.00015974827627735196,0.0003572722883381584,3.730713597025077e-05,9.845109346493775e-06,5.811859847877386e-05,0.00048611096116987903
16,Bwd Pkt Len Mean,5.677180203513049e-05,8.911090409231316e-05,2.0930526350530145e-05,8.181426495340321e-05,0.00012095702043563187,7.65104321272765e-05,8.679925812459114e-06,1.9414647397530815e-05,0.0002623245403964339
17,Bwd Pkt Len Std,4.551561395840211e-06,0.00015328323874092985,3.6019479001819785e-05,0.000362216820707345,6.524124443906599e-05,0.00035503414156876106,1.0465229091401838e-05,6.642994751933208e-05,0.00024029123899734091
18,Flow Byts/s,0.45368364483018986,0.4393087756977412,0.19057785709635328,0.4550648005063632,0.5067014903213731,0.2578507419115484,0.30798133703088737,0.39019764312238736,0.5034295531216992
19,Flow Pkts/s,0.023300748580269537,0.009151468617770225,0.008220115766386626,0.032905441393083566,0.017249879120262514,0.061678346494047485,0.0030230302686765765,0.01400132734293461,0.04356542672927606
20,Flow IAT Mean,0.08754400132984155,0.06845521009850102,0.08457740198788792,0.11147812399699127,0.17404351685645553,0.2242673936212773,0.10671923285791254,0.37928051051549766,0.14582126781620125
21,Flow IAT Std,0.007103444339977656,0.019596969900027607,0.018281789326955906,0.03100816549500616,0.026073906495263754,0.09462935123729978,0.011425371285765488,0.03420465780604643,0.07790036009537324
22,Flow IAT Max,0.041868926325857175,0.06581538085809267,0.07134381499228128,0.09464940334383579,0.1376643106452098,0.17091762921560077,0.0733316635947356,0.5502411925970748,0.25275910414068653
23,Flow IAT Min,0.14151342028304023,0.12053104325180404,0.12729734037652185,0.20545042125952614,0.31042953651729877,0.29522188279476547,0.14464251049491555,0.9099879660637942,0.20692260923314548
24,Fwd IAT Tot,0.15052704136917944,0.23286692030328116,0.21896252511924663,0.27070150749059446,0.8004091749981447,0.7360084173615261,0.18708009765880548,0.9883346529844912,0.8588837271374732
25,Fwd IAT Mean,0.07687664140025574,0.08472118547830663,0.08048871637335794,0.10364752002272817,0.1902393857380728,0.15818960807043103,0.09724708424984632,0.486637853202041,0.2260524349353717
26,Fwd IAT Std,0.006571016886541779,0.012389928006069998,0.0278355301790356,0.03554605364738477,0.027974218405330997,0.04397960313372865,0.010191848686414146,0.054983983315953146,0.11372166486696404
27,Fwd IAT Max,0.05470040445208159,0.08842190711273486,0.08599750315371121,0.08622392015724867,0.14863446219238347,0.17150974929394527,0.09485423925715221,0.3484880469795617,0.2091386694903669
28,Fwd IAT Min,0.10227356219404124,0.09741912749106323,0.09190946635154149,0.1295010807385427,0.2702824100252193,0.21153296805359934,0.10505648709332631,0.7339513575875367,0.1483979499261631
29,Bwd IAT Tot,0.050637971643438175,0.09420717857566395,0.09854703506549758,0.13314682217623436,0.3979951648478933,0.21407596165953918,0.06249020861823523,0.13595464803493093,0.2714286963778583
30,Bwd IAT Mean,0.008272719775793694,0.00947540855402165,0.025262973480056433,0.026410092923905233,0.04304365007594687,0.09503236101105762,0.007815619866887906,0.01748898064180388,0.11221727880439399
31,Bwd IAT Std,0.0040790478248735,0.009787684787834362,0.015191205332781982,0.040212436870319404,0.022450910813179802,0.009964140370660788,0.0078117104081088405,0.014664627966115484,0.03951168002261268
32,Bwd IAT Max,0.010925747652268638,0.024215575472963123,0.049459008267523905,0.042720358008513315,0.03199520725937417,0.061797585092143795,0.018298903081500614,0.035766454666328974,0.11008131639376155
33,Bwd IAT Min,0.0006832370946174915,0.002933350074605396,0.007963366997051066,0.005824297644219262,0.0022835910125233233,0.025047685349676062,0.002134027678832215,0.0021873636816318247,0.03726139606574767
34,Fwd PSH Flags,1.856658342572667e-07,4.745074920906177e-09,2.507195609070771e-09,1.8829521314456277e-08,2.990115382211536e-08,2.4957848383108603e-09,8.583433957883309e-10,3.7008280934378436e-09,7.432648401070825e-08
35,Bwd PSH Flags,1.890667426367301e-09,3.142205607391731e-09,3.874626124178658e-10,4.74217564817785e-10,2.8930707441283524e-09,2.561468068660742e-10,5.772775346697706e-10,4.642456234382615e-10,1.0368227304278953e-08
36,Fwd URG Flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Bwd URG Flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Fwd Header Len,2.7616560240774817e-05,7.744001227610513e-05,5.252618282823717e-05,0.00014945613741982748,5.821366482702235e-05,0.001044394865507328,7.5507646798047e-06,0.00014691170178164636,7.16160430937035e-05
39,Bwd Header Len,2.6236998879888167e-05,4.4909974709962136e-05,2.235577477839754e-05,0.0001540871924070741,2.3777295083400876e-05,0.0003962099781206348,4.524539567473999e-06,0.00010485723677635883,0.0001363510908323311
40,Fwd Pkts/s,0.07182797349123862,0.014657139223600669,0.009682027902977161,0.04406371175777131,0.011598218201650214,0.04734458523097186,0.003741222054687138,0.023850181697627967,0.17512223148464195
41,Bwd Pkts/s,0.02506863533427134,0.001107452234205478,0.0028755442627700816,0.03225766500307979,0.009859810356058938,0.0007703115306966783,0.0004459058529729141,0.010078975899363185,0.058166758467623515
42,Pkt Len Min,9.154727188510747e-05,2.7043742362364918e-05,4.006566397665005e-05,4.736938402773659e-05,0.00014263524569815754,1.785731481903857e-05,9.669231071000128e-06,3.7644268034986046e-05,0.00017994359530274252
43,Pkt Len Max,5.59804672326617e-05,6.767327588645913e-05,4.734853333790442e-05,0.000644088419306219,0.0001712914467848257,0.00019602553355438447,1.4404858049507136e-05,0.00042924576673792063,0.00022717453553187846
44,Pkt Len Mean,2.6724075645327357e-05,5.857583201563962e-05,1.2480494398271148e-05,5.885232923206114e-05,6.767622038838879e-05,6.430899527994893e-05,6.447163283998237e-06,7.949487847916744e-05,0.00016306302100957247
45,Pkt Len Std,2.330513426044605e-05,2.397225507813071e-05,1.1416735965251314e-05,0.00019464772738220915,4.276952161155105e-05,2.483632438904275e-05,3.722220981269979e-06,0.0001590456263209436,3.401525927407879e-05
46,Pkt Len Var,0.0019959534751489726,0.010886698065882699,0.0021758735876269216,0.03178321304314024,0.009657263211481804,0.009931775981500985,0.0011330983353348427,0.09036998249532953,0.017728573953207753
47,FIN Flag Cnt,2.512788156118249e-09,2.93159272959562e-08,2.0699240000325e-09,5.120717033521673e-09,1.47970790044723e-07,6.024039738523299e-09,1.1392265950798199e-09,7.782177982242898e-09,1.0594410713035604e-09
48,SYN Flag Cnt,3.641775571802795e-07,4.205244963086632e-08,6.22859165303212e-08,8.449285101356693e-08,8.089332831126145e-08,1.0473607867909155e-07,3.859887569527441e-08,5.653593966400075e-08,2.0809327119526636e-07
49,RST Flag Cnt,3.644566653952678e-09,1.1689405455648238e-07,3.400650379434236e-08,4.784762847571768e-07,6.800626412074421e-08,1.6544381726571506e-08,2.192954287648818e-08,9.159588383441169e-08,1.968581086851767e-07
50,PSH Flag Cnt,2.6201184827860716e-06,3.843764658214252e-07,7.598794078506706e-08,1.7877783793157104e-06,4.163870255624095e-07,9.720702580706386e-07,4.761389122769168e-08,5.740257206596915e-07,7.184491160341531e-06
51,ACK Flag Cnt,3.310393041168051e-06,2.1435350391483026e-08,1.874641280830022e-07,1.607927967108668e-06,7.525282363692084e-07,5.222714012593075e-07,3.2907526227771256e-08,6.76335560090607e-07,3.853479025132927e-06
52,URG Flag Cnt,1.7162261899270898e-06,2.3023142727382415e-09,2.5618842563976642e-09,5.652047291135127e-06,3.8267503491020654e-07,1.6348185833890534e-08,7.630440618746695e-09,1.088271778546689e-06,1.571438144930503e-06
53,CWE Flag Count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,ECE Flag Cnt,2.3076817197726228e-09,1.193631343293763e-07,3.385032115557216e-08,4.4933254889860327e-07,7.033188235712203e-08,1.0923581109113842e-08,2.5971441770564646e-08,9.908995641814543e-08,1.8072235965791521e-07
55,Down/Up Ratio,1.398803855843195e-06,6.160349731879607e-08,6.430367299556326e-08,9.153565857303092e-07,4.7444647320892177e-07,2.4550308827032347e-07,2.9766031219296592e-08,3.8097967717290765e-07,4.272502219378556e-06
56,Pkt Size Avg,6.162381660422759e-05,7.836707658269143e-05,3.080343291092504e-05,8.981220646677562e-05,0.00014244701064938114,8.040783598919886e-05,1.1186005949316277e-05,0.00012821248750303018,0.0002762871424879507
57,Fwd Seg Size Avg,1.8100512131097085e-05,3.554195172987292e-05,5.985837773507155e-06,5.758033179060228e-05,3.157623182666046e-05,5.1617945248389514e-05,3.0876741289745972e-06,0.0001173886617035181,9.548907067829753e-05
58,Bwd Seg Size Avg,6.204804554366609e-05,8.351333975091173e-05,2.2806471884684846e-05,8.834613045438719e-05,0.0001330768656403072,7.022509210717306e-05,8.921482410790739e-06,1.9897032003496095e-05,0.0002526552809277629
